0,1,2,3,4,5,6,7,8,9,10
bottled water,frozen chicken,,,,,,,,,
soda,tropical fruit,,,,,,,,,
whole milk,specialty fat,,,,,,,,,
yogurt,chocolate,,,,,,,,,
rolls/buns,oil,,,,,,,,,
root vegetables,grapes,,,,,,,,,
soda,bottled water,,,,,,,,,
other vegetables,domestic eggs,,,,,,,,,
pickled vegetables,canned beer,,,,,,,,,
baking powder,pet care,yogurt,frozen vegetables,,,,,,,
meat,chocolate,,,,,,,,,
hygiene articles,hygiene articles,pastry,,,,,,,,
ham,whole milk,,,,,,,,,
soda,curd,soda,,,,,,,,
whole milk,grapes,,,,,,,,,
baby cosmetics,bottled water,,,,,,,,,
pip fruit,pudding powder,,,,,,,,,
sparkling wine,softener,,,,,,,,,
pip fruit,sausage,red/blush wine,coffee,salt,pastry,,,,,
baking powder,soda,,,,,,,,,
cream cheese ,newspapers,,,,,,,,,
curd,whipped/sour cream,,,,,,,,,
tropical fruit,curd,brown bread,,,,,,,,
pork,whipped/sour cream,,,,,,,,,
long life bakery product,waffles,,,,,,,,,
other vegetables,napkins,white wine,,,,,,,,
other vegetables,long life bakery product,,,,,,,,,
sausage,whole milk,,,,,,,,,
tropical fruit,UHT-milk,,,,,,,,,
pip fruit,UHT-milk,,,,,,,,,
meat,whole milk,,,,,,,,,
tropical fruit,packaged fruit/vegetables,,,,,,,,,
turkey,white bread,,,,,,,,,
frankfurter,ketchup,,,,,,,,,
whole milk,hair spray,waffles,,,,,,,,
whipped/sour cream,rolls/buns,,,,,,,,,
root vegetables,beverages,,,,,,,,,
fruit/vegetable juice,margarine,,,,,,,,,
curd,napkins,,,,,,,,,
pork,butter,,,,,,,,,
root vegetables,yogurt,sparkling wine,,,,,,,,
pip fruit,rolls/buns,specialty chocolate,,,,,,,,
pastry,soda,semi-finished bread,white bread,,,,,,,
other vegetables,red/blush wine,,,,,,,,,
citrus fruit,beef,,,,,,,,,
frankfurter,margarine,,,,,,,,,
root vegetables,domestic eggs,,,,,,,,,
frozen fish,bottled water,,,,,,,,,
whole milk,baking powder,,,,,,,,,
whole milk,candy,,,,,,,,,
semi-finished bread,liquor,pastry,,,,,,,,
rolls/buns,cling film/bags,,,,,,,,,
ham,processed cheese,,,,,,,,,
domestic eggs,pasta,,,,,,,,,
chicken,whole milk,snack products,,,,,,,,
liver loaf,bottled beer,,,,,,,,,
dog food,bottled beer,,,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
rolls/buns,pickled vegetables,,,,,,,,,
chocolate,herbs,,,,,,,,,
whole milk,hair spray,butter,pastry,,,,,,,
root vegetables,soda,,,,,,,,,
bottled water,rolls/buns,,,,,,,,,
domestic eggs,mayonnaise,,,,,,,,,
beef,chicken,butter milk,canned beer,processed cheese,shopping bags,,,,,
sausage,sausage,tropical fruit,pip fruit,,,,,,,
frozen meals,rolls/buns,,,,,,,,,
candy,chewing gum,,,,,,,,,
whole milk,fruit/vegetable juice,,,,,,,,,
cat food,fruit/vegetable juice,,,,,,,,,
salty snack,specialty bar,brown bread,instant coffee,,,,,,,
canned beer,yogurt,cream cheese ,,,,,,,,
onions,berries,,,,,,,,,
citrus fruit,soda,white bread,,,,,,,,
sausage,shopping bags,,,,,,,,,
sugar,napkins,,,,,,,,,
UHT-milk,whipped/sour cream,,,,,,,,,
tropical fruit,canned beer,,,,,,,,,
soda,beverages,,,,,,,,,
ice cream,sliced cheese,,,,,,,,,
fruit/vegetable juice,cat food,,,,,,,,,
frankfurter,other vegetables,cream cheese ,,,,,,,,
domestic eggs,yogurt,,,,,,,,,
whipped/sour cream,yogurt,processed cheese,rolls/buns,,,,,,,
tropical fruit,tropical fruit,pot plants,berries,other vegetables,shopping bags,,,,,
coffee,bottled water,liqueur,,,,,,,,
frozen vegetables,rolls/buns,,,,,,,,,
other vegetables,margarine,,,,,,,,,
citrus fruit,yogurt,,,,,,,,,
pastry,berries,,,,,,,,,
other vegetables,yogurt,soda,,,,,,,,
canned beer,other vegetables,fruit/vegetable juice,,,,,,,,
ice cream,bottled water,,,,,,,,,
rolls/buns,salty snack,,,,,,,,,
whole milk,chocolate marshmallow,,,,,,,,,
pork,male cosmetics,pastry,chewing gum,brandy,,,,,,
whole milk,sugar,,,,,,,,,
soda,whole milk,,,,,,,,,
other vegetables,yogurt,,,,,,,,,
canned beer,sliced cheese,margarine,,,,,,,,
brown bread,dessert,,,,,,,,,
tropical fruit,chewing gum,,,,,,,,,
tropical fruit,flour,,,,,,,,,
UHT-milk,shopping bags,,,,,,,,,
soda,rolls/buns,,,,,,,,,
fruit/vegetable juice,herbs,,,,,,,,,
chocolate,dessert,,,,,,,,,
domestic eggs,processed cheese,whole milk,bottled water,,,,,,,
curd,cream cheese ,,,,,,,,,
hamburger meat,dessert,,,,,,,,,
tropical fruit,bottled water,whipped/sour cream,,,,,,,,
white bread,mustard,,,,,,,,,
soda,other vegetables,,,,,,,,,
soda,soda,,,,,,,,,
pip fruit,fruit/vegetable juice,,,,,,,,,
sausage,pastry,,,,,,,,,
sausage,meat,beverages,UHT-milk,frozen dessert,sugar,,,,,
napkins,photo/film,dessert,,,,,,,,
rolls/buns,cat food,,,,,,,,,
brown bread,frozen vegetables,,,,,,,,,
other vegetables,frozen dessert,,,,,,,,,
pork,soda,,,,,,,,,
citrus fruit,cream cheese ,,,,,,,,,
other vegetables,pip fruit,domestic eggs,,,,,,,,
curd,frozen meals,,,,,,,,,
ham,bathroom cleaner,,,,,,,,,
ham,whole milk,,,,,,,,,
pastry,bottled water,,,,,,,,,
chicken,pastry,waffles,,,,,,,,
brown bread,hygiene articles,rolls/buns,,,,,,,,
bottled water,sauces,,,,,,,,,
frozen vegetables,whole milk,,,,,,,,,
butter,whole milk,,,,,,,,,
rolls/buns,specialty bar,,,,,,,,,
root vegetables,Instant food products,,,,,,,,,
pork,other vegetables,,,,,,,,,
specialty chocolate,misc. beverages,,,,,,,,,
meat,other vegetables,chewing gum,,,,,,,,
chicken,meat,chewing gum,bottled beer,baking powder,shopping bags,,,,,
chocolate,long life bakery product,,,,,,,,,
frozen vegetables,citrus fruit,,,,,,,,,
canned beer,tropical fruit,margarine,,,,,,,,
pip fruit,soda,condensed milk,,,,,,,,
berries,domestic eggs,,,,,,,,,
yogurt,whole milk,ham,citrus fruit,frozen vegetables,whole milk,,,,,
hamburger meat,liquor (appetizer),liver loaf,dessert,,,,,,,
tropical fruit,cream cheese ,,,,,,,,,
frankfurter,other vegetables,,,,,,,,,
sausage,pastry,coffee,,,,,,,,
tropical fruit,sugar,,,,,,,,,
chocolate marshmallow,whole milk,whole milk,,,,,,,,
nut snack,bottled water,,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
beef,flour,,,,,,,,,
pork,sliced cheese,,,,,,,,,
UHT-milk,pastry,,,,,,,,,
tropical fruit,canned beer,,,,,,,,,
bottled beer,other vegetables,,,,,,,,,
bottled water,other vegetables,,,,,,,,,
pork,domestic eggs,UHT-milk,rolls/buns,,,,,,,
whole milk,whipped/sour cream,domestic eggs,house keeping products,,,,,,,
sausage,tropical fruit,bottled beer,fruit/vegetable juice,,,,,,,
whole milk,rolls/buns,,,,,,,,,
whole milk,grapes,,,,,,,,,
other vegetables,margarine,,,,,,,,,
sausage,sliced cheese,yogurt,pastry,hygiene articles,,,,,,
chocolate,margarine,,,,,,,,,
other vegetables,spices,,,,,,,,,
cling film/bags,coffee,,,,,,,,,
tropical fruit,pasta,sugar,,,,,,,,
soda,dessert,,,,,,,,,
yogurt,pastry,,,,,,,,,
meat,citrus fruit,,,,,,,,,
fruit/vegetable juice,flower (seeds),,,,,,,,,
root vegetables,hard cheese,,,,,,,,,
sausage,coffee,pip fruit,tropical fruit,,,,,,,
whole milk,pip fruit,softener,,,,,,,,
whole milk,canned beer,cat food,,,,,,,,
frankfurter,herbs,,,,,,,,,
dessert,yogurt,,,,,,,,,
pork,frozen meals,,,,,,,,,
frankfurter,pot plants,brown bread,,,,,,,,
soda,butter,,,,,,,,,
canned beer,yogurt,,,,,,,,,
packaged fruit/vegetables,tea,,,,,,,,,
citrus fruit,sliced cheese,napkins,,,,,,,,
soda,long life bakery product,pastry,,,,,,,,
pork,spread cheese,,,,,,,,,
chocolate,citrus fruit,yogurt,,,,,,,,
pip fruit,pork,seasonal products,canned beer,,,,,,,
frankfurter,margarine,,,,,,,,,
frankfurter,beef,frozen fish,rice,napkins,,,,,,
whipped/sour cream,soda,,,,,,,,,
pastry,frozen vegetables,,,,,,,,,
pork,yogurt,,,,,,,,,
condensed milk,berries,tea,frozen vegetables,cat food,,,,,,
tropical fruit,soda,,,,,,,,,
liver loaf,rolls/buns,,,,,,,,,
soda,nut snack,,,,,,,,,
beef,pip fruit,,,,,,,,,
canned beer,semi-finished bread,,,,,,,,,
packaged fruit/vegetables,flour,,,,,,,,,
whole milk,yogurt,,,,,,,,,
rolls/buns,other vegetables,,,,,,,,,
canned beer,white bread,,,,,,,,,
frozen meals,white bread,cereals,ready soups,,,,,,,
whole milk,cat food,,,,,,,,,
tropical fruit,mustard,,,,,,,,,
hamburger meat,margarine,,,,,,,,,
bottled beer,berries,,,,,,,,,
UHT-milk,whole milk,herbs,,,,,,,,
salty snack,soups,,,,,,,,,
canned beer,sausage,onions,canned beer,,,,,,,
rolls/buns,packaged fruit/vegetables,,,,,,,,,
cat food,coffee,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
brown bread,packaged fruit/vegetables,,,,,,,,,
chocolate marshmallow,canned beer,,,,,,,,,
pet care,bottled water,soda,,,,,,,,
whole milk,root vegetables,,,,,,,,,
butter,candy,,,,,,,,,
whole milk,yogurt,semi-finished bread,,,,,,,,
pastry,chocolate,,,,,,,,,
whole milk,soda,,,,,,,,,
newspapers,zwieback,,,,,,,,,
whole milk,pip fruit,,,,,,,,,
root vegetables,ice cream,margarine,,,,,,,,
other vegetables,onions,shopping bags,,,,,,,,
sausage,pork,,,,,,,,,
whole milk,coffee,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
frozen fish,whole milk,,,,,,,,,
yogurt,shopping bags,,,,,,,,,
coffee,whole milk,,,,,,,,,
citrus fruit,sausage,brown bread,,,,,,,,
bottled water,pastry,fruit/vegetable juice,,,,,,,,
hard cheese,other vegetables,whole milk,zwieback,,,,,,,
yogurt,pip fruit,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
coffee,hard cheese,domestic eggs,,,,,,,,
pastry,grapes,,,,,,,,,
coffee,whole milk,domestic eggs,,,,,,,,
chicken,pastry,,,,,,,,,
tropical fruit,meat,whole milk,candles,,,,,,,
other vegetables,root vegetables,bottled water,,,,,,,,
pastry,detergent,,,,,,,,,
waffles,shopping bags,soda,cream cheese ,,,,,,,
whole milk,candy,domestic eggs,white wine,,,,,,,
berries,other vegetables,,,,,,,,,
soda,domestic eggs,,,,,,,,,
bottled water,sliced cheese,,,,,,,,,
other vegetables,red/blush wine,,,,,,,,,
citrus fruit,white wine,bottled beer,newspapers,cat food,,,,,,
citrus fruit,other vegetables,,,,,,,,,
citrus fruit,whole milk,rolls/buns,,,,,,,,
curd,long life bakery product,,,,,,,,,
pip fruit,butter,bottled water,,,,,,,,
pork,fruit/vegetable juice,,,,,,,,,
white bread,flour,,,,,,,,,
pastry,sugar,,,,,,,,,
hard cheese,salty snack,,,,,,,,,
hamburger meat,rolls/buns,,,,,,,,,
bottled beer,dishes,,,,,,,,,
other vegetables,coffee,brown bread,,,,,,,,
berries,bottled beer,beef,whole milk,,,,,,,
cream cheese ,frozen meals,,,,,,,,,
finished products,other vegetables,,,,,,,,,
pot plants,rolls/buns,,,,,,,,,
frankfurter,white bread,,,,,,,,,
domestic eggs,pastry,,,,,,,,,
coffee,shopping bags,,,,,,,,,
long life bakery product,ketchup,,,,,,,,,
white wine,whole milk,,,,,,,,,
whole milk,whole milk,,,,,,,,,
bottled beer,tropical fruit,,,,,,,,,
herbs,curd,,,,,,,,,
UHT-milk,ice cream,specialty bar,,,,,,,,
rolls/buns,root vegetables,bottled beer,yogurt,pickled vegetables,,,,,,
pip fruit,soda,,,,,,,,,
onions,whipped/sour cream,,,,,,,,,
root vegetables,hygiene articles,newspapers,,,,,,,,
pastry,bottled beer,fruit/vegetable juice,,,,,,,,
canned beer,margarine,white bread,,,,,,,,
citrus fruit,rum,,,,,,,,,
frankfurter,whole milk,hamburger meat,white bread,,,,,,,
frankfurter,curd,,,,,,,,,
root vegetables,other vegetables,,,,,,,,,
margarine,whole milk,,,,,,,,,
other vegetables,citrus fruit,semi-finished bread,softener,,,,,,,
cream cheese ,meat,rolls/buns,yogurt,frozen meals,whipped/sour cream,,,,,
citrus fruit,canned beer,rolls/buns,whole milk,,,,,,,
bottled beer,yogurt,,,,,,,,,
pork,soda,brandy,sausage,rolls/buns,whole milk,yogurt,frozen dessert,shopping bags,,
bottled water,bottled water,,,,,,,,,
tidbits,dessert,cat food,,,,,,,,
pastry,shopping bags,,,,,,,,,
tropical fruit,newspapers,,,,,,,,,
seasonal products,other vegetables,,,,,,,,,
dessert,frozen meals,,,,,,,,,
fruit/vegetable juice,ketchup,,,,,,,,,
root vegetables,tropical fruit,,,,,,,,,
root vegetables,frozen vegetables,bottled water,cat food,,,,,,,
brown bread,liquor,,,,,,,,,
bottled beer,soda,,,,,,,,,
dessert,red/blush wine,,,,,,,,,
whole milk,rolls/buns,hygiene articles,,,,,,,,
curd,spices,frozen fish,,,,,,,,
sausage,packaged fruit/vegetables,,,,,,,,,
berries,beverages,pastry,napkins,,,,,,,
soda,artif. sweetener,salty snack,,,,,,,,
domestic eggs,whipped/sour cream,,,,,,,,,
bottled beer,yogurt,,,,,,,,,
rolls/buns,other vegetables,,,,,,,,,
dessert,curd,whole milk,bottled water,,,,,,,
pip fruit,whole milk,,,,,,,,,
pork,whole milk,,,,,,,,,
hard cheese,sweet spreads,,,,,,,,,
semi-finished bread,bottled water,,,,,,,,,
dessert,shopping bags,,,,,,,,,
frankfurter,frankfurter,pip fruit,yogurt,,,,,,,
pastry,pastry,,,,,,,,,
soda,napkins,,,,,,,,,
tropical fruit,photo/film,,,,,,,,,
pip fruit,white bread,,,,,,,,,
berries,curd,,,,,,,,,
bottled water,frozen meals,,,,,,,,,
canned beer,shopping bags,,,,,,,,,
frankfurter,pickled vegetables,,,,,,,,,
tropical fruit,fruit/vegetable juice,,,,,,,,,
sausage,ham,shopping bags,whole milk,butter,,,,,,
turkey,whole milk,,,,,,,,,
soda,ice cream,,,,,,,,,
candles,canned beer,,,,,,,,,
sausage,shopping bags,shopping bags,,,,,,,,
spread cheese,whole milk,,,,,,,,,
curd,newspapers,,,,,,,,,
sausage,whole milk,,,,,,,,,
root vegetables,chewing gum,chocolate,bottled beer,,,,,,,
other vegetables,domestic eggs,,,,,,,,,
whole milk,fish,other vegetables,soda,,,,,,,
rolls/buns,cereals,,,,,,,,,
pastry,condensed milk,rice,tropical fruit,chocolate marshmallow,,,,,,
pip fruit,salty snack,yogurt,,,,,,,,
frozen vegetables,berries,whole milk,candy,,,,,,,
sausage,yogurt,,,,,,,,,
organic sausage,yogurt,,,,,,,,,
popcorn,butter,,,,,,,,,
sausage,frozen fruits,,,,,,,,,
beef,white bread,,,,,,,,,
fruit/vegetable juice,root vegetables,,,,,,,,,
frozen meals,mayonnaise,whipped/sour cream,,,,,,,,
whole milk,yogurt,,,,,,,,,
whole milk,frozen potato products,,,,,,,,,
rolls/buns,other vegetables,yogurt,frozen vegetables,,,,,,,
canned beer,fish,,,,,,,,,
whole milk,pip fruit,,,,,,,,,
rolls/buns,cling film/bags,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
sausage,domestic eggs,domestic eggs,,,,,,,,
UHT-milk,cream cheese ,cream cheese ,waffles,,,,,,,
tropical fruit,frozen potato products,vinegar,,,,,,,,
male cosmetics,roll products ,pastry,,,,,,,,
rolls/buns,whole milk,,,,,,,,,
tropical fruit,fruit/vegetable juice,,,,,,,,,
tea,pip fruit,,,,,,,,,
bottled beer,brown bread,,,,,,,,,
newspapers,cookware,,,,,,,,,
chocolate,rolls/buns,,,,,,,,,
whole milk,coffee,,,,,,,,,
canned beer,coffee,,,,,,,,,
sausage,white wine,,,,,,,,,
citrus fruit,pork,root vegetables,dishes,curd,rolls/buns,candy,yogurt,,,
newspapers,bottled beer,domestic eggs,,,,,,,,
frankfurter,chicken,meat,bottled beer,other vegetables,pastry,misc. beverages,root vegetables,salt,,
nuts/prunes,margarine,,,,,,,,,
white bread,jam,,,,,,,,,
whole milk,dental care,,,,,,,,,
misc. beverages,yogurt,oil,,,,,,,,
citrus fruit,brown bread,snack products,napkins,,,,,,,
yogurt,bottled water,,,,,,,,,
pastry,margarine,,,,,,,,,
detergent,cocoa drinks,,,,,,,,,
citrus fruit,soda,herbs,oil,,,,,,,
candy,bottled water,,,,,,,,,
whole milk,onions,,,,,,,,,
dessert,margarine,,,,,,,,,
oil,herbs,,,,,,,,,
ham,whole milk,,,,,,,,,
citrus fruit,bottled beer,,,,,,,,,
kitchen utensil,bottled water,rolls/buns,pasta,bottled water,,,,,,
cream cheese ,frozen vegetables,,,,,,,,,
pork,salty snack,,,,,,,,,
soda,red/blush wine,root vegetables,butter milk,,,,,,,
bottled beer,whipped/sour cream,,,,,,,,,
grapes,other vegetables,,,,,,,,,
whole milk,domestic eggs,canned vegetables,baking powder,hygiene articles,detergent,,,,,
other vegetables,other vegetables,,,,,,,,,
pork,cream cheese ,,,,,,,,,
pastry,canned beer,mustard,yogurt,,,,,,,
nut snack,long life bakery product,whole milk,frozen meals,,,,,,,
whole milk,whole milk,domestic eggs,,,,,,,,
berries,whole milk,,,,,,,,,
soda,cling film/bags,,,,,,,,,
pastry,whole milk,,,,,,,,,
pip fruit,bottled water,salt,,,,,,,,
canned vegetables,whole milk,,,,,,,,,
tropical fruit,vinegar,sauces,,,,,,,,
pip fruit,bottled water,bottled water,,,,,,,,
fish,bottled beer,,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
ice cream,pip fruit,,,,,,,,,
bottled water,rolls/buns,,,,,,,,,
dessert,chewing gum,,,,,,,,,
sausage,dog food,,,,,,,,,
citrus fruit,coffee,,,,,,,,,
hamburger meat,cream cheese ,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
whole milk,root vegetables,canned vegetables,,,,,,,,
dishes,bottled water,,,,,,,,,
oil,soda,,,,,,,,,
hamburger meat,chicken,butter,rolls/buns,,,,,,,
rolls/buns,oil,chocolate,,,,,,,,
whole milk,hard cheese,,,,,,,,,
soda,whole milk,,,,,,,,,
citrus fruit,brown bread,pastry,,,,,,,,
butter,specialty chocolate,frozen meals,,,,,,,,
hamburger meat,soda,pastry,newspapers,,,,,,,
bottled beer,domestic eggs,,,,,,,,,
pip fruit,yogurt,whole milk,yogurt,bottled beer,newspapers,,,,,
soda,canned beer,,,,,,,,,
tropical fruit,pork,photo/film,hard cheese,,,,,,,
chocolate,whole milk,hamburger meat,other vegetables,,,,,,,
frankfurter,finished products,canned beer,hamburger meat,packaged fruit/vegetables,whipped/sour cream,curd,sweet spreads,white bread,,
softener,salty snack,,,,,,,,,
pork,margarine,,,,,,,,,
sausage,whole milk,cake bar,,,,,,,,
soda,soda,,,,,,,,,
rolls/buns,shopping bags,,,,,,,,,
house keeping products,whole milk,,,,,,,,,
sausage,rolls/buns,,,,,,,,,
beef,bottled beer,herbs,,,,,,,,
whole milk,sugar,,,,,,,,,
specialty chocolate,turkey,canned beer,soda,dental care,,,,,,
other vegetables,rolls/buns,,,,,,,,,
pip fruit,salty snack,,,,,,,,,
whole milk,domestic eggs,,,,,,,,,
fish,sausage,other vegetables,soda,rolls/buns,,,,,,
sausage,margarine,,,,,,,,,
frankfurter,pastry,canned beer,pastry,,,,,,,
bottled water,root vegetables,,,,,,,,,
yogurt,yogurt,,,,,,,,,
frankfurter,curd,beef,whipped/sour cream,,,,,,,
fish,canned beer,chocolate,,,,,,,,
other vegetables,dessert,,,,,,,,,
meat,cling film/bags,curd,,,,,,,,
sausage,oil,cream cheese ,,,,,,,,
frozen dessert,herbs,brown bread,,,,,,,,
citrus fruit,bottled beer,,,,,,,,,
canned beer,whole milk,pork,oil,,,,,,,
onions,cat food,,,,,,,,,
root vegetables,tropical fruit,,,,,,,,,
whipped/sour cream,root vegetables,,,,,,,,,
rolls/buns,bottled beer,,,,,,,,,
sausage,citrus fruit,butter,specialty bar,salty snack,,,,,,
candy,rolls/buns,UHT-milk,,,,,,,,
hamburger meat,berries,liquor,cream cheese ,,,,,,,
pip fruit,male cosmetics,,,,,,,,,
beverages,yogurt,,,,,,,,,
rolls/buns,other vegetables,,,,,,,,,
other vegetables,chocolate,white wine,,,,,,,,
sliced cheese,napkins,,,,,,,,,
canned beer,brown bread,,,,,,,,,
frankfurter,margarine,,,,,,,,,
bottled beer,butter,,,,,,,,,
canned beer,canned beer,,,,,,,,,
pip fruit,soda,,,,,,,,,
frozen meals,detergent,,,,,,,,,
frozen vegetables,other vegetables,,,,,,,,,
yogurt,sausage,whole milk,shopping bags,white bread,dog food,baking powder,sliced cheese,,,
canned beer,cookware,,,,,,,,,
chocolate,whole milk,yogurt,,,,,,,,
soda,specialty bar,,,,,,,,,
sausage,specialty bar,,,,,,,,,
soda,citrus fruit,,,,,,,,,
other vegetables,citrus fruit,pork,shopping bags,,,,,,,
shopping bags,butter milk,,,,,,,,,
rolls/buns,specialty bar,,,,,,,,,
coffee,butter milk,,,,,,,,,
napkins,coffee,,,,,,,,,
citrus fruit,soda,,,,,,,,,
domestic eggs,canned beer,shopping bags,,,,,,,,
beef,misc. beverages,,,,,,,,,
rolls/buns,sausage,whole milk,pastry,yogurt,dessert,curd,yogurt,,,
dessert,sausage,whole milk,oil,,,,,,,
pip fruit,specialty bar,,,,,,,,,
coffee,frankfurter,frankfurter,bottled beer,butter,margarine,sugar,brown bread,soda,,
tropical fruit,frozen meals,,,,,,,,,
citrus fruit,white bread,white bread,,,,,,,,
frozen vegetables,butter,,,,,,,,,
soda,frozen potato products,,,,,,,,,
beef,whole milk,candy,,,,,,,,
other vegetables,white bread,detergent,,,,,,,,
frankfurter,sparkling wine,,,,,,,,,
berries,other vegetables,butter,newspapers,,,,,,,
other vegetables,other vegetables,,,,,,,,,
root vegetables,whipped/sour cream,,,,,,,,,
whole milk,chocolate,,,,,,,,,
cat food,white bread,,,,,,,,,
yogurt,other vegetables,,,,,,,,,
sausage,canned beer,,,,,,,,,
beverages,chocolate marshmallow,,,,,,,,,
bottled water,shopping bags,soda,flour,,,,,,,
roll products ,toilet cleaner,,,,,,,,,
soda,detergent,,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
pork,butter,,,,,,,,,
root vegetables,coffee,domestic eggs,soda,,,,,,,
canned beer,chocolate marshmallow,,,,,,,,,
tropical fruit,butter milk,,,,,,,,,
hamburger meat,pastry,cake bar,brown bread,,,,,,,
sausage,beverages,,,,,,,,,
soda,flower (seeds),jam,,,,,,,,
ham,rolls/buns,,,,,,,,,
soda,pip fruit,hygiene articles,oil,,,,,,,
pip fruit,turkey,yogurt,root vegetables,other vegetables,chocolate,fruit/vegetable juice,,,,
chicken,onions,,,,,,,,,
liver loaf,pasta,grapes,other vegetables,,,,,,,
beverages,condensed milk,,,,,,,,,
frankfurter,root vegetables,sugar,whole milk,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
pastry,whipped/sour cream,whipped/sour cream,oil,,,,,,,
frankfurter,rolls/buns,,,,,,,,,
sausage,dessert,,,,,,,,,
frankfurter,other vegetables,whole milk,ready soups,brandy,,,,,,
whole milk,yogurt,chocolate,,,,,,,,
canned beer,tropical fruit,,,,,,,,,
misc. beverages,cling film/bags,curd,,,,,,,,
grapes,other vegetables,domestic eggs,,,,,,,,
liquor (appetizer),rolls/buns,yogurt,,,,,,,,
yogurt,rolls/buns,,,,,,,,,
chicken,tropical fruit,,,,,,,,,
tropical fruit,yogurt,,,,,,,,,
citrus fruit,yogurt,,,,,,,,,
butter,hygiene articles,,,,,,,,,
frankfurter,salt,,,,,,,,,
soft cheese,rolls/buns,,,,,,,,,
hamburger meat,fruit/vegetable juice,,,,,,,,,
canned beer,hygiene articles,,,,,,,,,
whole milk,detergent,,,,,,,,,
bottled water,chicken,processed cheese,whole milk,,,,,,,
frozen vegetables,dessert,,,,,,,,,
beverages,bottled water,,,,,,,,,
tropical fruit,sausage,root vegetables,spread cheese,,,,,,,
pip fruit,citrus fruit,,,,,,,,,
chocolate,pickled vegetables,bottled water,,,,,,,,
whole milk,newspapers,,,,,,,,,
yogurt,citrus fruit,,,,,,,,,
canned beer,whipped/sour cream,,,,,,,,,
curd,liquor (appetizer),,,,,,,,,
frozen fish,specialty cheese,,,,,,,,,
rolls/buns,sausage,tropical fruit,soda,yogurt,onions,flour,specialty chocolate,whipped/sour cream,,
canned beer,hamburger meat,cake bar,,,,,,,,
canned beer,fruit/vegetable juice,,,,,,,,,
pork,cream cheese ,,,,,,,,,
soda,brown bread,,,,,,,,,
rolls/buns,newspapers,,,,,,,,,
canned beer,coffee,flour,,,,,,,,
yogurt,margarine,newspapers,,,,,,,,
frankfurter,canned beer,citrus fruit,frozen vegetables,chicken,oil,soda,,,,
packaged fruit/vegetables,pet care,,,,,,,,,
bottled water,soda,domestic eggs,jam,whole milk,,,,,,
pip fruit,root vegetables,,,,,,,,,
UHT-milk,salty snack,,,,,,,,,
meat,sausage,baking powder,pastry,,,,,,,
salty snack,chewing gum,,,,,,,,,
citrus fruit,beef,rolls/buns,whole milk,,,,,,,
bottled water,chocolate,,,,,,,,,
sliced cheese,soda,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
brown bread,tropical fruit,sugar,,,,,,,,
yogurt,other vegetables,fruit/vegetable juice,,,,,,,,
artif. sweetener,salty snack,,,,,,,,,
whipped/sour cream,other vegetables,,,,,,,,,
whole milk,flower (seeds),,,,,,,,,
whole milk,curd,rolls/buns,rolls/buns,,,,,,,
whole milk,seasonal products,,,,,,,,,
pip fruit,soda,,,,,,,,,
fruit/vegetable juice,pastry,,,,,,,,,
frozen vegetables,onions,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
other vegetables,other vegetables,,,,,,,,,
dessert,pork,,,,,,,,,
brown bread,curd,,,,,,,,,
mustard,yogurt,cat food,bottled beer,,,,,,,
root vegetables,whipped/sour cream,shopping bags,,,,,,,,
pork,whipped/sour cream,,,,,,,,,
rolls/buns,baby cosmetics,,,,,,,,,
soda,whole milk,,,,,,,,,
citrus fruit,pastry,,,,,,,,,
chicken,nut snack,,,,,,,,,
soda,bottled water,butter,,,,,,,,
other vegetables,whole milk,pudding powder,cream cheese ,,,,,,,
nuts/prunes,root vegetables,white wine,pastry,,,,,,,
tropical fruit,snack products,,,,,,,,,
rolls/buns,cake bar,,,,,,,,,
frankfurter,salty snack,house keeping products,,,,,,,,
fruit/vegetable juice,canned fish,light bulbs,long life bakery product,,,,,,,
yogurt,specialty chocolate,specialty bar,,,,,,,,
root vegetables,margarine,,,,,,,,,
white bread,brown bread,,,,,,,,,
red/blush wine,whole milk,,,,,,,,,
root vegetables,rolls/buns,flower (seeds),,,,,,,,
tropical fruit,herbs,long life bakery product,,,,,,,,
whole milk,rolls/buns,salty snack,,,,,,,,
tropical fruit,pork,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
rolls/buns,citrus fruit,pot plants,yogurt,roll products ,fruit/vegetable juice,,,,,
bottled water,frozen potato products,,,,,,,,,
whole milk,rolls/buns,instant coffee,,,,,,,,
butter,shopping bags,,,,,,,,,
rolls/buns,yogurt,,,,,,,,,
margarine,brandy,root vegetables,shopping bags,,,,,,,
canned beer,curd,,,,,,,,,
sausage,bottled beer,,,,,,,,,
pip fruit,tropical fruit,rolls/buns,pip fruit,rolls/buns,,,,,,
